"","year","a_council","N","Internationale_Politik","Sicherheitspolitik","Europapolitik","Wirtschaft","Beschäftigung_Arbeit","Landwirtschaft","Finanzwesen","Steuer","Soziale_Fragen","Migration","Sozialer_Schutz","Gesundheit","Raumplanung_Wohnungswesen","Kultur","Bildung","Wissenschaft_Forschung","Medien_Kommunikation","Verkehr","Umwelt","Energie","Staatspolitik","Parlament","Recht_allgemein","Zivilrecht","Strafrecht","Gerichtswesen","Internationales_Recht","Menschenrechte"
"48","2007","Nationalrat",1398,6.36623748211731,8.79828326180258,2.93276108726752,8.6552217453505,NA,3.43347639484979,7.58226037195994,NA,10.9442060085837,2.93276108726752,NA,11.3733905579399,1.35908440629471,1.1444921316166,3.29041487839771,1.21602288984263,4.43490701001431,11.587982832618,8.44062947067239,7.01001430615165,10.5150214592275,2.78969957081545,7.86838340486409,NA,NA,NA,NA,NA
"49","2007","Ständerat",136,2.20588235294118,6.61764705882353,0.735294117647059,8.82352941176471,NA,4.41176470588235,10.2941176470588,NA,11.7647058823529,2.20588235294118,NA,18.3823529411765,0.735294117647059,0.735294117647059,2.94117647058824,1.47058823529412,3.67647058823529,4.41176470588235,8.82352941176471,11.0294117647059,5.88235294117647,3.67647058823529,6.61764705882353,NA,NA,NA,NA,NA
"50","2007","Bundesrat",82,12.1951219512195,12.1951219512195,7.31707317073171,8.53658536585366,NA,1.21951219512195,13.4146341463415,NA,7.31707317073171,2.4390243902439,NA,4.8780487804878,2.4390243902439,8.53658536585366,1.21951219512195,2.4390243902439,1.21951219512195,9.75609756097561,0,1.21951219512195,2.4390243902439,1.21951219512195,19.5121951219512,NA,NA,NA,NA,NA
"51","2007","Volksinitiative",4,0,0,0,0,NA,25,0,NA,0,0,NA,0,25,0,0,0,0,0,75,0,0,0,25,NA,NA,NA,NA,NA
"52","2008","Nationalrat",1644,5.77858880778589,9.61070559610706,2.67639902676399,9.42822384428224,NA,5.90024330900243,11.6788321167883,NA,9.12408759124088,5.10948905109489,NA,9.91484184914842,2.25060827250608,1.338199513382,2.85888077858881,1.27737226277372,3.1021897810219,12.712895377129,6.38686131386861,8.02919708029197,6.56934306569343,2.49391727493917,6.75182481751825,NA,NA,NA,NA,NA
"53","2008","Ständerat",142,2.8169014084507,8.45070422535211,2.8169014084507,7.04225352112676,NA,2.11267605633803,17.6056338028169,NA,11.2676056338028,1.40845070422535,NA,16.1971830985915,2.11267605633803,0.704225352112676,3.52112676056338,2.8169014084507,3.52112676056338,8.45070422535211,4.22535211267606,7.04225352112676,4.92957746478873,4.22535211267606,12.6760563380282,NA,NA,NA,NA,NA
"54","2008","Bundesrat",60,16.6666666666667,8.33333333333333,10,13.3333333333333,NA,0,23.3333333333333,NA,5,1.66666666666667,NA,1.66666666666667,1.66666666666667,0,1.66666666666667,3.33333333333333,0,1.66666666666667,1.66666666666667,5,5,1.66666666666667,13.3333333333333,NA,NA,NA,NA,NA
"55","2008","Volksinitiative",6,0,16.6666666666667,0,16.6666666666667,NA,0,0,NA,0,0,NA,0,33.3333333333333,16.6666666666667,0,0,0,0,16.6666666666667,0,0,0,16.6666666666667,NA,NA,NA,NA,NA
"56","2009","Nationalrat",2104,6.36882129277567,7.84220532319392,2.8041825095057,12.5950570342205,NA,5.27566539923954,11.4543726235741,NA,8.79277566539924,5.18060836501901,NA,11.787072243346,1.47338403041825,2.37642585551331,3.18441064638783,0.903041825095057,5.46577946768061,9.03041825095057,6.0361216730038,4.99049429657795,7.46197718631179,2.04372623574144,9.36311787072243,NA,NA,NA,NA,NA
"57","2009","Ständerat",201,5.97014925373134,4.97512437810945,3.48258706467662,13.9303482587065,NA,3.48258706467662,16.4179104477612,NA,9.9502487562189,4.47761194029851,NA,12.9353233830846,2.48756218905473,2.48756218905473,4.97512437810945,1.99004975124378,6.46766169154229,10.9452736318408,6.46766169154229,3.98009950248756,6.96517412935323,4.47761194029851,7.46268656716418,NA,NA,NA,NA,NA
